epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,5672.53,0.37878,0.76767,0.95879,0.6973,0.48348,0.53624,0.48613,0.57024,0.96519,0.56579,0.000496895,0.000496895,0.000496895
69,5756.19,0.37436,0.76161,0.95817,0.69792,0.49497,0.53627,0.48713,0.58815,0.96453,0.59718,0.000487729,0.000487729,0.000487729
70,5839.16,0.37108,0.7648,0.96217,0.73022,0.47309,0.53776,0.48796,0.60485,0.9472,0.62221,0.000478563,0.000478563,0.000478563
71,5918.27,0.37949,0.76738,0.9654,0.65753,0.4825,0.53227,0.4814,0.59366,0.97832,0.60308,0.000469397,0.000469397,0.000469397
72,5998,0.37831,0.75085,0.95561,0.7161,0.4759,0.53268,0.48376,0.58381,0.97015,0.5794,0.000460232,0.000460232,0.000460232
73,6080,0.37351,0.75696,0.9567,0.74836,0.45858,0.52908,0.48066,0.57773,0.9769,0.58094,0.000451066,0.000451066,0.000451066
74,6159.54,0.38765,0.76832,0.96941,0.73204,0.47815,0.53938,0.48972,0.57304,0.92584,0.5798,0.0004419,0.0004419,0.0004419
75,6241.46,0.371,0.72514,0.95333,0.74648,0.47406,0.53984,0.48936,0.56923,0.92049,0.56944,0.000432734,0.000432734,0.000432734
76,6322.77,0.38111,0.75168,0.95737,0.70978,0.47602,0.5331,0.48469,0.57797,0.96813,0.57849,0.000423569,0.000423569,0.000423569
77,6404.21,0.36263,0.72707,0.95867,0.70845,0.47846,0.53736,0.48628,0.58394,0.97466,0.58982,0.000414403,0.000414403,0.000414403
78,6486.67,0.36715,0.72293,0.95248,0.76136,0.46396,0.53876,0.48758,0.58569,0.98333,0.59789,0.000405237,0.000405237,0.000405237
79,6568.65,0.36207,0.72505,0.95824,0.77343,0.47382,0.54511,0.49413,0.5777,0.92222,0.5862,0.000396071,0.000396071,0.000396071
80,6650.31,0.36333,0.70358,0.95699,0.74597,0.48986,0.53991,0.48884,0.58206,0.93497,0.58947,0.000386906,0.000386906,0.000386906
81,6731.25,0.35947,0.70464,0.95704,0.751,0.47321,0.53798,0.4883,0.58206,0.96243,0.60537,0.00037774,0.00037774,0.00037774
82,6812.71,0.35488,0.70094,0.95174,0.69715,0.48892,0.53914,0.48716,0.56171,0.95667,0.56618,0.000368574,0.000368574,0.000368574
83,6894.47,0.35043,0.69645,0.95099,0.78928,0.47359,0.53587,0.48772,0.58548,0.98763,0.59655,0.000359409,0.000359409,0.000359409
84,6974.91,0.36505,0.70805,0.95294,0.79086,0.45671,0.53857,0.49039,0.57245,0.9515,0.5798,0.000350243,0.000350243,0.000350243
85,7057.55,0.35251,0.69762,0.94678,0.73573,0.48569,0.54013,0.49154,0.56878,0.94774,0.57174,0.000341077,0.000341077,0.000341077
86,7139.81,0.35003,0.6798,0.94999,0.73599,0.47892,0.5467,0.4967,0.57334,0.92472,0.58113,0.000331911,0.000331911,0.000331911
87,7220.63,0.36688,0.70074,0.95161,0.72751,0.48197,0.54177,0.49074,0.58679,0.95059,0.59605,0.000322745,0.000322745,0.000322745
88,7302,0.36944,0.69984,0.95442,0.75053,0.48217,0.54594,0.49651,0.57951,0.91285,0.59347,0.00031358,0.00031358,0.00031358
89,7383.4,0.34908,0.67046,0.94339,0.78346,0.46762,0.5408,0.49193,0.56721,0.92609,0.58133,0.000304414,0.000304414,0.000304414
90,7463.92,0.3478,0.66618,0.94622,0.71759,0.47837,0.54436,0.49286,0.55079,0.93118,0.54768,0.000295248,0.000295248,0.000295248
91,7546.95,0.35585,0.67898,0.94747,0.76639,0.48521,0.54539,0.4936,0.55449,0.93312,0.55232,0.000286083,0.000286083,0.000286083
92,7629.79,0.34605,0.65586,0.94227,0.76639,0.47666,0.54683,0.49469,0.5434,0.90539,0.53787,0.000276917,0.000276917,0.000276917
93,7713.76,0.34929,0.64974,0.94862,0.72769,0.47778,0.54359,0.49281,0.57526,0.95156,0.57967,0.000267751,0.000267751,0.000267751
94,7795.99,inf,0.68026,0.94992,0.71978,0.49274,0.54512,0.49416,0.56171,0.96858,0.57067,0.000258585,0.000258585,0.000258585
95,7877.85,0.34094,0.65009,0.94142,0.70699,0.49046,0.54131,0.49253,0.54083,0.90674,0.53836,0.00024942,0.00024942,0.00024942
96,7959.79,0.35047,0.64763,0.94583,0.74209,0.48109,0.54373,0.49255,0.55531,0.91393,0.5526,0.000240254,0.000240254,0.000240254
97,8041.67,0.3481,0.6464,0.93828,0.73229,0.48589,0.54772,0.49809,0.55388,0.91624,0.56319,0.000231088,0.000231088,0.000231088
98,8123.99,0.35649,0.64901,0.94803,0.796,0.47314,0.54298,0.49288,0.56183,0.92697,0.56401,0.000221922,0.000221922,0.000221922
99,8206.23,0.33818,0.63823,0.94299,0.74791,0.48003,0.54291,0.49272,0.56737,0.92914,0.57229,0.000212757,0.000212757,0.000212757
100,8289.05,0.34536,0.63773,0.94336,0.7435,0.4807,0.54635,0.49572,0.57339,0.92251,0.58133,0.000203591,0.000203591,0.000203591
101,8373.25,0.35638,0.63721,0.9461,0.78968,0.47604,0.55067,0.49939,0.57939,0.9176,0.58542,0.000194425,0.000194425,0.000194425
102,8455.96,0.34127,0.62892,0.93724,0.75234,0.48008,0.54849,0.49594,0.55902,0.90391,0.56429,0.000185259,0.000185259,0.000185259
103,8536.94,0.32605,0.61154,0.93606,0.78938,0.46838,0.55074,0.4981,0.56377,0.90813,0.57173,0.000176094,0.000176094,0.000176094
104,8617.85,0.34633,0.63233,0.94323,0.75261,0.48064,0.54592,0.49464,0.55576,0.91268,0.56043,0.000166928,0.000166928,0.000166928
105,8698.89,0.34076,0.64077,0.94251,0.68294,0.50577,0.54761,0.49702,0.5532,0.89775,0.55963,0.000157762,0.000157762,0.000157762
106,8778.6,0.3383,0.60816,0.93985,0.72844,0.48812,0.54387,0.49256,0.56117,0.9189,0.56601,0.000148596,0.000148596,0.000148596
107,8857.65,0.33277,0.60933,0.93498,0.81014,0.46534,0.54424,0.49427,0.56006,0.9039,0.56457,0.000139431,0.000139431,0.000139431
108,8938.37,0.33958,0.6107,0.94309,0.72321,0.49701,0.54438,0.49482,0.55296,0.92154,0.55837,0.000130265,0.000130265,0.000130265
109,9018.52,0.34921,0.6267,0.93723,0.72927,0.48766,0.54591,0.49543,0.5684,0.91809,0.5728,0.000121099,0.000121099,0.000121099
110,9096.72,0.33621,0.59892,0.94155,0.75702,0.47491,0.54742,0.49594,0.56247,0.9217,0.56257,0.000111933,0.000111933,0.000111933
111,9176.26,0.38744,0.51478,0.90295,0.79849,0.47279,0.53908,0.48913,0.59244,0.9645,0.59146,0.000102768,0.000102768,0.000102768
112,9247.76,0.37657,0.45947,0.90204,0.77594,0.47698,0.53928,0.48873,0.57776,0.97204,0.57544,9.36017e-05,9.36017e-05,9.36017e-05
113,9319.11,0.37763,0.4547,0.89978,0.79983,0.47671,0.54349,0.49444,0.57002,0.94593,0.56974,8.4436e-05,8.4436e-05,8.4436e-05
114,9390.23,0.37032,0.44233,0.89157,0.77224,0.47844,0.54207,0.49224,0.57634,0.95708,0.57193,7.52703e-05,7.52703e-05,7.52703e-05
115,9461.61,0.3666,0.43116,0.88828,0.77428,0.47893,0.54368,0.49369,0.57631,0.94856,0.56825,6.61045e-05,6.61045e-05,6.61045e-05
116,9533.55,0.3691,0.43047,0.89119,0.78372,0.46955,0.54101,0.49213,0.57639,0.96036,0.57101,5.69387e-05,5.69387e-05,5.69387e-05
117,9605.44,0.36393,0.42292,0.89129,0.76375,0.48033,0.54523,0.49562,0.57006,0.94716,0.56728,4.7773e-05,4.7773e-05,4.7773e-05
118,9676.98,0.35614,0.41558,0.88669,0.75833,0.47819,0.54143,0.49221,0.57163,0.95872,0.56532,3.86073e-05,3.86073e-05,3.86073e-05
119,9748.92,0.36512,0.41904,0.89117,0.73834,0.48602,0.54255,0.49351,0.56607,0.94843,0.56118,2.94415e-05,2.94415e-05,2.94415e-05
120,9820.69,0.36536,0.41728,0.88775,0.79075,0.47206,0.54356,0.49435,0.56928,0.95111,0.56365,2.02757e-05,2.02757e-05,2.02757e-05
