epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3746.1,0.63533,0.82022,0.92947,0.52503,0.30188,0.34658,0.28554,0.81547,1.44309,1.07042,0.000451066,0.000451066,0.000451066
62,3807.8,0.65745,0.84436,0.93501,0.43847,0.32861,0.32579,0.2668,0.80806,1.44723,1.04887,0.000440067,0.000440067,0.000440067
63,3868.61,0.64077,0.81658,0.93318,0.38871,0.35413,0.33083,0.27261,0.81166,1.49883,1.03831,0.000429068,0.000429068,0.000429068
64,3930.12,0.61055,0.77274,0.92383,0.50432,0.32603,0.33524,0.27723,0.80822,1.50677,1.04747,0.000418069,0.000418069,0.000418069
65,3990.7,0.62912,0.78996,0.92911,0.4157,0.37683,0.34807,0.28313,0.78985,1.4342,1.04204,0.00040707,0.00040707,0.00040707
66,4052.14,0.61763,0.78336,0.92473,0.41217,0.36015,0.33991,0.28114,0.7961,1.49807,1.03157,0.000396071,0.000396071,0.000396071
67,4113.16,0.63293,0.78945,0.93235,0.54755,0.32814,0.34353,0.28303,0.78736,1.47734,1.0268,0.000385073,0.000385073,0.000385073
68,4173.83,0.62594,0.76381,0.93065,0.38849,0.3475,0.33657,0.27317,0.81054,1.50073,1.05158,0.000374074,0.000374074,0.000374074
69,4235.09,0.61638,0.75732,0.92551,0.41774,0.33779,0.33872,0.27585,0.82054,1.52237,1.05749,0.000363075,0.000363075,0.000363075
70,4296.9,0.64179,0.76054,0.92687,0.43512,0.34542,0.33656,0.27478,0.80229,1.51684,1.06168,0.000352076,0.000352076,0.000352076
71,4357.34,0.61209,0.73527,0.91878,0.47844,0.30899,0.32916,0.2676,0.79184,1.54571,1.04081,0.000341077,0.000341077,0.000341077
72,4418,0.6089,0.73287,0.91963,0.48015,0.33746,0.3372,0.27605,0.79701,1.46348,1.03964,0.000330078,0.000330078,0.000330078
73,4479.56,0.62874,0.75981,0.92042,0.40401,0.35825,0.32669,0.26779,0.79142,1.46818,1.04359,0.000319079,0.000319079,0.000319079
74,4540.92,0.63005,0.73656,0.92806,0.43246,0.32081,0.3276,0.26877,0.79175,1.48797,1.03958,0.00030808,0.00030808,0.00030808
75,4601.66,0.61303,0.72301,0.92017,0.41209,0.34584,0.3329,0.27527,0.79883,1.52293,1.04676,0.000297081,0.000297081,0.000297081
76,4663.96,0.60702,0.70714,0.91681,0.42549,0.33905,0.33498,0.27979,0.80311,1.54339,1.04514,0.000286083,0.000286083,0.000286083
77,4724.8,0.60769,0.70967,0.91532,0.3929,0.37675,0.34686,0.28625,0.80151,1.52421,1.04878,0.000275084,0.000275084,0.000275084
78,4785.86,0.60159,0.69176,0.91431,0.45856,0.33227,0.32884,0.27044,0.78924,1.54406,1.04021,0.000264085,0.000264085,0.000264085
79,4847.9,0.59811,0.68014,0.91587,0.41986,0.35692,0.33535,0.27724,0.80105,1.53125,1.05,0.000253086,0.000253086,0.000253086
80,4908.02,0.6078,0.69061,0.9161,0.4186,0.3562,0.33681,0.27617,0.77653,1.50505,1.03266,0.000242087,0.000242087,0.000242087
81,4969.67,0.59694,0.66971,0.91409,0.53123,0.32379,0.34328,0.28546,0.7797,1.49511,1.04252,0.000231088,0.000231088,0.000231088
82,5030.13,0.59831,0.66626,0.90961,0.4441,0.37721,0.34475,0.28398,0.78159,1.45424,1.04538,0.000220089,0.000220089,0.000220089
83,5091.22,0.60182,0.66286,0.9146,0.43447,0.36298,0.33751,0.27722,0.77575,1.4972,1.03866,0.00020909,0.00020909,0.00020909
84,5152.38,0.59184,0.66039,0.91327,0.50682,0.33364,0.33128,0.27411,0.77439,1.55008,1.03938,0.000198091,0.000198091,0.000198091
85,5212.54,0.59313,0.66021,0.91194,0.43943,0.35657,0.3499,0.28963,0.77559,1.50741,1.03451,0.000187092,0.000187092,0.000187092
86,5272.81,0.58384,0.65849,0.90631,0.44224,0.35405,0.34221,0.28181,0.77178,1.4597,1.03655,0.000176094,0.000176094,0.000176094
87,5334.17,0.59414,0.66295,0.90452,0.48634,0.32045,0.34287,0.28391,0.77665,1.48106,1.03733,0.000165095,0.000165095,0.000165095
88,5395.41,0.58132,0.63564,0.90538,0.49147,0.33294,0.34374,0.28151,0.80026,1.48652,1.04741,0.000154096,0.000154096,0.000154096
89,5456.63,0.58004,0.62433,0.90633,0.46619,0.34209,0.34777,0.28731,0.78612,1.50927,1.0314,0.000143097,0.000143097,0.000143097
90,5518.11,0.59217,0.62833,0.90704,0.45964,0.35315,0.34583,0.28247,0.79152,1.51176,1.03972,0.000132098,0.000132098,0.000132098
91,5580.87,0.60405,0.64909,0.89268,0.4421,0.33985,0.3255,0.26802,0.80727,1.53722,1.0505,0.000121099,0.000121099,0.000121099
92,5638.62,0.58384,0.60028,0.88499,0.45581,0.36229,0.344,0.28355,0.79402,1.50742,1.04175,0.0001101,0.0001101,0.0001101
93,5696.14,0.58104,0.58155,0.87955,0.48945,0.33591,0.34327,0.28237,0.78307,1.45694,1.04007,9.91012e-05,9.91012e-05,9.91012e-05
94,5753.73,0.5791,0.58105,0.88262,0.48911,0.34701,0.34539,0.2842,0.77652,1.46004,1.03776,8.81023e-05,8.81023e-05,8.81023e-05
95,5812.06,0.57478,0.58351,0.87552,0.42199,0.37389,0.34408,0.28282,0.78456,1.46584,1.04055,7.71034e-05,7.71034e-05,7.71034e-05
96,5867.71,0.57422,0.56917,0.87448,0.52767,0.3197,0.34286,0.28162,0.77851,1.47398,1.03654,6.61045e-05,6.61045e-05,6.61045e-05
97,5925.07,0.56636,0.55323,0.87181,0.4756,0.34696,0.34418,0.28316,0.77592,1.46477,1.03468,5.51056e-05,5.51056e-05,5.51056e-05
98,5983.24,0.56103,0.56239,0.87014,0.43937,0.36242,0.34671,0.28512,0.77292,1.45551,1.04114,4.41067e-05,4.41067e-05,4.41067e-05
99,6040.04,0.55652,0.55466,0.87772,0.5084,0.32391,0.34301,0.28227,0.77498,1.45785,1.04146,3.31078e-05,3.31078e-05,3.31078e-05
100,6097.48,0.55825,0.54761,0.86731,0.51934,0.32517,0.34527,0.28345,0.77486,1.46037,1.04165,2.21089e-05,2.21089e-05,2.21089e-05
