epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,12124.5,0.76328,1.05403,1.06424,0.63102,0.52492,0.56989,0.44553,0.77689,1.05991,0.91892,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,12307,0.78332,1.07804,1.0757,0.63299,0.52331,0.56956,0.44553,0.77828,1.0601,0.9196,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,12488.2,0.7711,1.06075,1.07088,0.65664,0.50042,0.56587,0.44152,0.78206,1.06575,0.92378,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,12668.4,0.7688,1.05452,1.07057,0.63107,0.52111,0.56842,0.44676,0.77495,1.06132,0.91875,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,12846.8,0.75466,1.04378,1.064,0.64191,0.52579,0.57285,0.44731,0.78182,1.05387,0.92877,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,13029,0.75838,1.03639,1.065,0.62379,0.53912,0.57458,0.45046,0.76924,1.04521,0.9143,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,13210.9,0.76257,1.03979,1.0679,0.6316,0.5386,0.57798,0.45161,0.77311,1.04563,0.91763,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,13392.6,0.75882,1.03264,1.06287,0.63747,0.52742,0.57662,0.45383,0.7786,1.04393,0.92736,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,13575.3,0.75404,1.0302,1.06251,0.63436,0.52588,0.57727,0.45277,0.77557,1.04544,0.92349,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,13758,0.74538,1.02544,1.06379,0.64033,0.52574,0.5782,0.45273,0.76753,1.03763,0.91638,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,13937.8,0.73351,1.00629,1.05307,0.64778,0.5272,0.57814,0.45327,0.7664,1.03415,0.91409,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,14119.3,0.75086,1.01226,1.05941,0.65444,0.53732,0.57943,0.45171,0.77353,1.03377,0.91811,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,14298.7,0.74478,1.00274,1.05265,0.65982,0.52131,0.57881,0.45265,0.77141,1.02871,0.91835,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,14481,0.75317,1.01369,1.05933,0.65123,0.53204,0.58099,0.45426,0.76284,1.02618,0.91017,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,14662.7,0.74471,0.99357,1.05223,0.63124,0.54283,0.57899,0.4533,0.76921,1.03351,0.917,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,14846.4,0.73302,0.99506,1.05178,0.66825,0.53072,0.58446,0.45871,0.76435,1.025,0.91521,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
